topic_name,topic_description
Many-valued logic,propositional calculus in which there are more than two truth values
Aerolysin,protein in Aeromonas hydrophila
Myrtus communis,"species of plant, common myrtle"
Supercavitation,use of a cavitation bubble to reduce skin friction drag on a submerged object and enable high speeds
Logic level,one of a finite number of states that a signal can have
Amniotic fluid index,quantitative estimate of amniotic fluid
Bosonic string theory,"26-dimensional string theory without supersymmetry, with a tachyon in its spectrum"
Slow roll,The field of study related to Slow roll.
Exponential type,type of complex function with growth bounded by an exponential function
Transnational governance,concept in transnationalism
Tropical Eastern Pacific,"marine realm along the Pacific coast of the Americas from the south of the Baja California Peninsula to northern Peru, and several islands"
Smith predictor,The field of study related to Smith predictor.
S-wave,seismic wave
Tidewater,The field of study related to Tidewater.
Crowdsourcing software development,The field of study related to Crowdsourcing software development.
Knowledge survey,The field of study related to Knowledge survey.
Crusher,machine designed to reduce large objects into smaller ones
Nepali,Indo-Aryan (Pahari) and official language of Nepal
Transfinite number,number larger than all finite numbers
Sense amplifier,The field of study related to Sense amplifier.
Surface-extended X-ray absorption fine structure,surface-sensitive equivalent of the EXAFS technique.
Tensor calculus,extension of vector calculus to tensors
Cellular model,mathematical model of aspects of a cell
Schema evolution,The field of study related to Schema evolution.
Computational resource,"software tool, finding a solution to help solve the problem/puzzle"
Notifiable disease,any disease that is required by law to be reported to government authorities
Diffie–Hellman key exchange,method of exchanging cryptographic keys
Multiplication algorithm,algorithm to multiply numbers
Eggshell membrane,thin protein-rich membrane attached to avian eggshell
Olfactory Receptor Cell,transduction cell within the olfactory system
Mange,class of skin diseases caused by parasitic mites
Monitoring and control,The field of study related to Monitoring and control.
Genetic erosion,The field of study related to Genetic erosion.
Call blocking,The field of study related to Call blocking.
Health law,"federal, state, and local law, rules, regulations and other jurisprudence among providers, payers and vendors to the health care industry and its patients"
IT risk,"any risk related to information technology, which may underlie an organization's business processes in varying degrees"
Sturge–Weber syndrome,"neurological and skin disorder associated with port-wine stains of the face, glaucoma, seizures, intellectual disability, and cerebral malformations"
Eosinopenia,abnormally low level of eosinophils in the blood
Pretext,excuse to do something or say something that is not accurate
Big Bounce,hypothetical cosmological model for the origin of the known universe
Social Darwinism,biological concepts of natural selection & survival fitness re-imagined socio-politically
Amplification factor,The field of study related to Amplification factor.
Dividend tax,tax levied on stock earnings
Transmembrane channels,The field of study related to Transmembrane channels.
Entacapone,one of the types of COMT inhibitors that is used for the treatment of Parkinson's disease
